challenger,challenger_signature,panels,iterations,cases,both_correct,incumbent_only_correct,challenger_only_correct,neither_correct,incumbent_accuracy,challenger_accuracy,challenger_delta,exact_binomial_p
5-solver plurality,"{""base_count"":5,""candidate_limit"":2,""candidate_source"":""base_unique"",""final_rule"":""base_plurality"",""review_count"":0,""review_mode"":""none"",""review_style"":""verify"",""review_trigger"":""never"",""show_frequencies"":false}",27,1;2;3;4;6;7;9;10;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,354,39,107,5,203,0.4124293785310734,0.12429378531073447,-0.288135593220339,5.415668049444863e-26
Direct one-call baseline,"{""base_count"":1,""candidate_limit"":2,""candidate_source"":""base_unique"",""final_rule"":""base_plurality"",""review_count"":0,""review_mode"":""none"",""review_style"":""verify"",""review_trigger"":""never"",""show_frequencies"":false}",27,1;2;3;4;6;7;9;10;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,354,30,116,3,205,0.4124293785310734,0.09322033898305085,-0.3192090395480226,8.454832455859965e-31
5-bank + 1 parallel repair,"{""base_count"":5,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":1,""review_mode"":""repair"",""review_style"":""falsify"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",15,9;10;12;13;14;15;16;17;18;20;21;27;28;29;30,204,60,17,13,114,0.37745098039215685,0.35784313725490197,-0.0196078431372549,0.584664711728692
5-bank + 3 regenerators + integrator,"{""base_count"":5,""candidate_limit"":8,""candidate_source"":""base_unique"",""final_rule"":""generated_review_fallback_base"",""review_count"":4,""review_mode"":""regenerate_then_repair"",""review_style"":""falsify"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",13,16;17;18;19;20;21;22;23;24;25;26;27;28,168,44,25,17,82,0.4107142857142857,0.3630952380952381,-0.047619047619047616,0.27995623852893914
9-bank + 1 parallel repair,"{""base_count"":9,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":1,""review_mode"":""repair"",""review_style"":""falsify"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",8,14;15;18;19;20;22;23;24,108,34,13,11,50,0.4351851851851852,0.4166666666666667,-0.018518518518518517,0.8388197422027588
5-bank + 3-step cross-examination,"{""base_count"":5,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""last_review_fallback_base"",""review_count"":3,""review_mode"":""cross_examine"",""review_style"":""falsify"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",8,12;13;17;19;21;23;29;30,102,26,11,10,55,0.3627450980392157,0.35294117647058826,-0.00980392156862745,1.0
9-bank + 1 choose-only selector,"{""base_count"":9,""candidate_limit"":8,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":1,""review_mode"":""choose"",""review_style"":""falsify"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",6,25;26;27;28;29;30,84,20,13,12,39,0.39285714285714285,0.38095238095238093,-0.011904761904761904,1.0
9-bank + 3 parallel repair,"{""base_count"":9,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":3,""review_mode"":""repair"",""review_style"":""falsify"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",4,4;6;12;13,48,13,7,5,23,0.4166666666666667,0.375,-0.041666666666666664,0.7744140625
9-bank + 3 choose-only selector,"{""base_count"":9,""candidate_limit"":8,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":3,""review_mode"":""choose"",""review_style"":""falsify"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",3,24;25;26,42,13,8,5,16,0.5,0.42857142857142855,-0.07142857142857142,0.5810546875
5-bank + 3 blind regenerators,"{""base_count"":5,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""augmented_plurality"",""review_count"":3,""review_mode"":""regenerate"",""review_style"":""rederive"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",2,14;15,30,6,9,1,14,0.5,0.23333333333333334,-0.26666666666666666,0.021484375
15-solver plurality,"{""base_count"":15,""candidate_limit"":2,""candidate_source"":""base_unique"",""final_rule"":""base_plurality"",""review_count"":0,""review_mode"":""none"",""review_style"":""verify"",""review_trigger"":""never"",""show_frequencies"":false}",2,1;2,24,4,7,1,12,0.4583333333333333,0.20833333333333334,-0.25,0.0703125
9-bank + 3 parallel repair,"{""base_count"":9,""candidate_limit"":8,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":3,""review_mode"":""repair"",""review_style"":""falsify"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",1,10,18,5,2,2,9,0.3888888888888889,0.3888888888888889,0.0,1.0
9-bank + 3-step cross-examination,"{""base_count"":9,""candidate_limit"":8,""candidate_source"":""base_unique"",""final_rule"":""last_review_fallback_base"",""review_count"":3,""review_mode"":""cross_examine"",""review_style"":""falsify"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",1,10,18,4,3,3,8,0.3888888888888889,0.3888888888888889,0.0,1.0
5-bank + 3 choose-only selector,"{""base_count"":5,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":3,""review_mode"":""choose"",""review_style"":""compare"",""review_trigger"":""no_strict_majority"",""show_frequencies"":false}",1,4,12,4,1,1,6,0.4166666666666667,0.4166666666666667,0.0,1.0
5-bank + 3 parallel repair,"{""base_count"":5,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""review_plus_base_plurality"",""review_count"":3,""review_mode"":""repair"",""review_style"":""falsify"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",1,4,12,3,2,2,5,0.4166666666666667,0.4166666666666667,0.0,1.0
5-bank + 3 choose-only selector,"{""base_count"":5,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":3,""review_mode"":""choose"",""review_style"":""falsify"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",1,7,12,4,1,1,6,0.4166666666666667,0.4166666666666667,0.0,1.0
9-bank + 1 parallel repair,"{""base_count"":9,""candidate_limit"":3,""candidate_source"":""committee_delegates"",""final_rule"":""review_plurality_fallback_base"",""review_count"":1,""review_mode"":""repair"",""review_style"":""falsify"",""review_trigger"":""committee_disagreement"",""show_frequencies"":false}",1,16,12,0,2,2,8,0.16666666666666666,0.16666666666666666,0.0,1.0
9-bank + 3 choose-only selector,"{""base_count"":9,""candidate_limit"":7,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":3,""review_mode"":""choose"",""review_style"":""falsify"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",1,6,12,6,1,0,5,0.5833333333333334,0.5,-0.08333333333333333,1.0
5-bank + 3 choose-only selector,"{""base_count"":5,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":3,""review_mode"":""choose"",""review_style"":""rederive"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",1,1,12,5,1,0,6,0.5,0.4166666666666667,-0.08333333333333333,1.0
9-bank + 3 choose-only selector,"{""base_count"":9,""candidate_limit"":3,""candidate_source"":""committee_delegates"",""final_rule"":""review_plurality_fallback_base"",""review_count"":3,""review_mode"":""choose"",""review_style"":""compare"",""review_trigger"":""committee_disagreement"",""show_frequencies"":false}",1,6,12,6,1,0,5,0.5833333333333334,0.5,-0.08333333333333333,1.0
7-bank + 3 parallel repair,"{""base_count"":7,""candidate_limit"":7,""candidate_source"":""base_unique"",""final_rule"":""review_plus_base_plurality"",""review_count"":3,""review_mode"":""repair"",""review_style"":""falsify"",""review_trigger"":""no_strict_majority"",""show_frequencies"":false}",1,2,12,3,2,1,6,0.4166666666666667,0.3333333333333333,-0.08333333333333333,1.0
11-bank + 3 choose-only selector,"{""base_count"":11,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""review_plus_base_plurality"",""review_count"":3,""review_mode"":""choose"",""review_style"":""falsify"",""review_trigger"":""no_strict_majority"",""show_frequencies"":true}",1,2,12,3,2,1,6,0.4166666666666667,0.3333333333333333,-0.08333333333333333,1.0
1-bank + 3 parallel repair,"{""base_count"":1,""candidate_limit"":2,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":3,""review_mode"":""repair"",""review_style"":""rederive"",""review_trigger"":""always"",""show_frequencies"":false}",1,3,12,2,3,2,5,0.4166666666666667,0.3333333333333333,-0.08333333333333333,1.0
5-bank + 3 parallel repair,"{""base_count"":5,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":3,""review_mode"":""repair"",""review_style"":""falsify"",""review_trigger"":""no_strict_majority"",""show_frequencies"":false}",1,7,12,4,1,0,7,0.4166666666666667,0.3333333333333333,-0.08333333333333333,1.0
9-bank + 3 choose-only selector,"{""base_count"":9,""candidate_limit"":3,""candidate_source"":""committee_delegates"",""final_rule"":""review_plus_base_plurality"",""review_count"":3,""review_mode"":""choose"",""review_style"":""falsify"",""review_trigger"":""committee_disagreement"",""show_frequencies"":false}",1,22,12,4,2,0,6,0.5,0.3333333333333333,-0.16666666666666666,0.5
5-bank + 5 parallel repair,"{""base_count"":5,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":5,""review_mode"":""repair"",""review_style"":""falsify"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",1,3,12,3,2,0,7,0.4166666666666667,0.25,-0.16666666666666666,0.5
9-bank + 3 choose-only selector,"{""base_count"":9,""candidate_limit"":3,""candidate_source"":""committee_delegates"",""final_rule"":""review_plus_base_plurality"",""review_count"":3,""review_mode"":""choose"",""review_style"":""compare"",""review_trigger"":""committee_disagreement"",""show_frequencies"":false}",1,7,12,3,2,0,7,0.4166666666666667,0.25,-0.16666666666666666,0.5
9-bank + 3 parallel repair,"{""base_count"":9,""candidate_limit"":3,""candidate_source"":""committee_delegates"",""final_rule"":""review_plurality_fallback_base"",""review_count"":3,""review_mode"":""repair"",""review_style"":""falsify"",""review_trigger"":""committee_disagreement"",""show_frequencies"":false}",1,9,12,2,3,1,6,0.4166666666666667,0.25,-0.16666666666666666,0.625
9-bank + 3 parallel repair,"{""base_count"":9,""candidate_limit"":8,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":3,""review_mode"":""repair"",""review_style"":""falsify"",""review_trigger"":""no_strict_majority"",""show_frequencies"":false}",1,9,12,2,3,0,7,0.4166666666666667,0.16666666666666666,-0.25,0.25
9-solver plurality,"{""base_count"":9,""candidate_limit"":2,""candidate_source"":""base_unique"",""final_rule"":""base_plurality"",""review_count"":0,""review_mode"":""none"",""review_style"":""verify"",""review_trigger"":""never"",""show_frequencies"":false}",1,1,12,2,4,0,6,0.5,0.16666666666666666,-0.3333333333333333,0.125
5-bank + 3 parallel repair,"{""base_count"":5,""candidate_limit"":5,""candidate_source"":""base_unique"",""final_rule"":""review_plurality_fallback_base"",""review_count"":3,""review_mode"":""repair"",""review_style"":""rederive"",""review_trigger"":""any_disagreement"",""show_frequencies"":false}",1,3,12,0,5,0,7,0.4166666666666667,0.0,-0.4166666666666667,0.0625
